row_isolate,col_isolate,replicate,value
KMM 191,KMM 191,1,285.884931
KMM 191,KMM 191,2,424.115008
KMM 191,KMM 191,3,387.201295
KMM 191,KMM 193,1,351.858377
KMM 191,KMM 193,2,318.086256
KMM 191,KMM 193,3,318.086256
KMM 191,KMM 195,1,351.858377
KMM 191,KMM 195,2,424.115008
KMM 191,KMM 195,3,424.115008
KMM 191,KMM 200,1,387.201295
KMM 191,KMM 200,2,318.086256
KMM 191,KMM 200,3,351.858377
KMM 191,KMM 202,1,351.858377
KMM 191,KMM 202,2,424.115008
KMM 191,KMM 202,3,387.201295
KMM 191,KMM 230,1,424.115008
KMM 191,KMM 230,2,351.858377
KMM 191,KMM 230,3,387.201295
KMM 193,KMM 193,1,50.2654825
KMM 193,KMM 193,2,50.2654825
KMM 193,KMM 193,3,50.2654825
KMM 193,KMM 195,1,285.884931
KMM 193,KMM 195,2,387.201295
KMM 193,KMM 195,3,285.884931
KMM 193,KMM 200,1,35.3429174
KMM 193,KMM 200,2,50.2654825
KMM 193,KMM 200,3,35.3429174
KMM 193,KMM 202,1,35.3429174
KMM 193,KMM 202,2,50.2654825
KMM 193,KMM 202,3,35.3429174
KMM 193,KMM 230,1,351.858377
KMM 193,KMM 230,2,387.201295
KMM 193,KMM 230,3,318.086256
KMM 195,KMM 195,1,285.884931
KMM 195,KMM 195,2,387.201295
KMM 195,KMM 195,3,424.115008
KMM 195,KMM 200,1,351.858377
KMM 195,KMM 200,2,351.858377
KMM 195,KMM 200,3,387.201295
KMM 195,KMM 202,1,318.086256
KMM 195,KMM 202,2,318.086256
KMM 195,KMM 202,3,424.115008
KMM 195,KMM 230,1,351.858377
KMM 195,KMM 230,2,318.086256
KMM 195,KMM 230,3,387.201295
KMM 200,KMM 200,1,0
KMM 200,KMM 200,2,0
KMM 200,KMM 200,3,0
KMM 200,KMM 202,1,21.9911486
KMM 200,KMM 202,2,0
KMM 200,KMM 202,3,0
KMM 200,KMM 230,1,255.254403
KMM 200,KMM 230,2,285.884931
KMM 200,KMM 230,3,285.884931
KMM 202,KMM 202,1,21.9911486
KMM 202,KMM 202,2,0
KMM 202,KMM 202,3,0
KMM 202,KMM 230,1,387.201295
KMM 202,KMM 230,2,285.884931
KMM 202,KMM 230,3,318.086256
KMM 230,KMM 230,1,285.884931
KMM 230,KMM 230,2,387.201295
KMM 230,KMM 230,3,387.201295