Sample,Chemical composition (%),,,
,C-C/C-H,C-O,C=O,O-C=O
241019 C-1.1,83.72,10.68,1.55,4.05
241019 C-1.2,78.61,16.12,3.61,1.66
241019 C-1.3,79.82,10.65,1.1,8.43
241019 C-2.1,77.34,11.72,2.79,8.15
241019 C-2.2,85.79,9.46,2.65,2.1
241019 C-2.3,81.62,7.96,2.27,8.14
241019 C-3.1,83.73,11.09,3.09,2.09
241019 C-3.2,85.72,9.81,2.69,1.78
241019 C-3.3,86.07,9.96,2.51,1.47
241019 195-1.1,63.64,23.68,10.25,2.43
241019 195-1.2,60.83,26.75,9.46,2.95
241019 195-1.3,58.73,28.31,9.88,3.08
241019 195-2.1,66.23,22.36,9.88,1.54
241019 195-2.2,68.87,21.35,7.33,2.45
241019 195-2.3,63.81,24.8,9.62,1.77
241019 195-3.1,79.47,13.12,4.8,2.6
241019 195-3.2,81.01,12.6,3.8,2.59
241019 195-3.3,82.82,11.62,3.86,1.7
241019 191x195-1.1,84.89,10.73,3.5,0.89
241019 191x195-1.2,83.95,8.98,3.88,3.19
241019 191x195-1.3,82.52,12.16,4.03,1.29
241019 191x195-2.1,82.79,12.37,2.91,1.93
241019 191x195-2.2,79.24,13.97,4.98,1.8
241019 191x195-2.3,83.16,11.43,3.72,1.68
241019 191x195-3.1,83.49,11.75,3.09,1.66
241019 191x195-3.2,83.7,11.63,3.01,1.67
241019 191x195-3.3,81.39,13.45,2.93,2.23
250418 C-1.1,84.58,10.77,2.76,1.9
250418 C-1.2,80.33,13.15,3.99,2.53
250418 C-1.3,72.91,17.42,7.15,2.52
250418 C-2.1,86.06,10.24,2.35,1.35
250418 C-2.2,75.08,12.9,1.42,10.6
250418 C-2.3,76.84,10.67,2.14,10.35
250418 C-3.1,86.6,9.51,1.8,2.09
250418 C-3.2,87.59,9.09,2.25,1.07
250418 C-3.3,75.63,12.85,1.47,10.05
250418 195-1.1,73.22,14.78,1.93,10.07
250418 195-1.2,67.66,27.07,1.11,4.16
250418 195-1.3,76.98,12.29,0.9,9.83
250418 195-2.1,69.97,19.19,5.05,5.78
250418 195-2.2,73.78,16.84,8.44,0.95
250418 195-2.3,75.09,15.59,7.8,1.51
250418 195-3.1,76.47,13.02,1.59,8.92
250418 195-3.2,79.02,10.28,3.63,7.07
250418 195-3.3,79.02,11.24,1.21,8.53
250418 191x195-1.1,73.77,14.78,1.36,10.09
250418 191x195-1.2,75.1,13.68,0.8,10.42
250418 191x195-1.3,80.56,9.6,1.74,8.11
250418 191x195-2.1,73.97,16.15,1.55,8.34
250418 191x195-2.2,78.86,9.58,2.39,9.17
250418 191x195-2.3,70.06,18.72,1.49,9.73
250418 191x195-3.1,74.13,15.22,3.65,7.01
250418 191x195-3.2,75.52,14.12,1.35,9.02
250418 191x195-3.3,73.42,14.01,2.78,9.79